text,link,publish,title
,http://sztqb.sznews.com/html/2017-03/06/content_3737807.htm,2017年03月06日 星期一,十二届全国人大五次会议在京开幕
,http://sztqb.sznews.com/html/2017-03/06/content_3737806.htm,2017年03月06日 星期一,践行新发展理念深化改革开放 加快建设现代化国际大都市
,http://sztqb.sznews.com/html/2017-03/06/content_3737808.htm,2017年03月06日 星期一,推动广东经济社会平稳健康发展
,http://sztqb.sznews.com/html/2017-03/06/content_3737809.htm,2017年03月06日 星期一,融入全球化的“深圳方案”
,http://sztqb.sznews.com/html/2017-03/06/content_3737810.htm,2017年03月06日 星期一,推动广东区域城乡协调发展
,http://sztqb.sznews.com/html/2017-03/06/content_3737811.htm,2017年03月06日 星期一,认真贯彻落实中央部署要求 以特区担当为全国全省发展作贡献
,http://sztqb.sznews.com/html/2017-03/06/content_3737518.htm,2017年03月06日 星期一,张德江俞正声刘云山王岐山参加代表团审议
,http://sztqb.sznews.com/html/2017-03/06/content_3737519.htm,2017年03月06日 星期一,践行新发展理念深化改革开放 加快建设现代化国际大都市
,http://sztqb.sznews.com/html/2017-03/06/content_3737520.htm,2017年03月06日 星期一,推动广东经济社会平稳健康发展
,http://sztqb.sznews.com/html/2017-03/06/content_3737521.htm,2017年03月06日 星期一,2016:“十三五”实现良好开局
,http://sztqb.sznews.com/html/2017-03/06/content_3737522.htm,2017年03月06日 星期一,2017：经济增长预期目标6.5%左右
,http://sztqb.sznews.com/html/2017-03/06/content_3737523.htm,2017年03月06日 星期一,每5分钟一位部长走上发布台
,http://sztqb.sznews.com/html/2017-03/06/content_3737524.htm,2017年03月06日 星期一,为何将GDP增速设在6.5%左右 并在实际工作中争取更好结果
,http://sztqb.sznews.com/html/2017-03/06/content_3737525.htm,2017年03月06日 星期一,质量落在细微处 匠心彰显大国力
,http://sztqb.sznews.com/html/2017-03/06/content_3737526.htm,2017年03月06日 星期一,龙岗：突出问题导向提升城区环境品质
,http://sztqb.sznews.com/html/2017-03/06/content_3737527.htm,2017年03月06日 星期一,携手打造全球区域创新中心
,http://sztqb.sznews.com/html/2017-03/06/content_3737536.htm,2017年03月06日 星期一,减税降费让企业轻装上阵
,http://sztqb.sznews.com/html/2017-03/06/content_3737538.htm,2017年03月06日 星期一,海绵城市：既有“面子”更有“里子”
,http://sztqb.sznews.com/html/2017-03/06/content_3737540.htm,2017年03月06日 星期一,深圳应发挥引领者推动者作用
,http://sztqb.sznews.com/html/2017-03/06/content_3737541.htm,2017年03月06日 星期一,深圳市人民政府国有资产监督管理委员会公开选聘专职外部董事公告
,http://sztqb.sznews.com/html/2017-03/06/content_3737528.htm,2017年03月06日 星期一,亲眼见到很多自己的提案落地
,http://sztqb.sznews.com/html/2017-03/06/content_3737529.htm,2017年03月06日 星期一,认真贯彻落实中央部署要求 以特区担当为全国全省发展作贡献
